movieId,lucationUrl,locationRef,city/country,area/street,location
5810,https://www.movie-locations.com/movies/0/8-Mile-Schultes-Avenue.jpg, Rabbitâs trailer home north of 8 Mile Road, Detroit, Warren, Schultes Avenue
5810,https://www.movie-locations.com/movies/0/8-Mile-8-Mile-Road.jpg, Rabbit catches the bus at 8 Mile Road, Detroit, Warren, 8 Mile Road at Schultes Avenue
5810,https://www.movie-locations.com/movies/0/8-Mile-East-Milwaukee-Street.jpg, Rabbit works in the stamping plant, Detroit, East Milwaukee Street,
5810,https://www.movie-locations.com/movies/0/8-Mile-30-Clifford-Street.jpg," the exterior of the ‘Shelter’, where Rabbit battles", Detroit, Clifford Street,
5810,https://www.movie-locations.com/movies/0/8-Mile-Michigan-Building.jpg, Three One Third and The Free World face off in the parking garage, Detroit, Bagley Street, Michigan Building
5810,https://www.movie-locations.com/movies/0/8-Mile-Penobscot-Building.jpg, Rabbit visits ‘WJLB’ radio station, Detroit, Griswold Street, Penobscot Building
5810,https://www.movie-locations.com/movies/0/8-Mile-Clifford-Street.jpg, Rabbit walks off to take his chance on the future, Detroit, Clifford Street,
35836,https://www.movie-locations.com/movies/0/40-Year-Old-Virgin-Encino-Courtyard-Mall.jpg," Encino Courtyard Mall, Ventura Boulevard, Ventura, San Fernando Valle", San Fernando Valley, Ventura," Ventura Boulevard,  Encino Courtyard Mall"
35836,https://www.movie-locations.com/movies/0/40-Year-Old-Virgin-Ventura-Boulevard.jpg, Trish's eBay store, San Fernando Valley, Ventura," Ventura Boulevard,  Net2Auction"
35836,https://www.movie-locations.com/movies/0/40-Year-Old-Virgin-Bistro-Garden.jpg," speed-dating at Bistro Garden, Ventura Boulevard, Ventura, San Fernando Valle", San Fernando Valley, Ventura," Ventura Boulevard,  speed-dating at Bistro Garden"
35836,https://www.movie-locations.com/movies/0/40-Year-Old-Virgin-Delmonicos.jpg," the second date, at Delmonico's Lobster House, Ventura Boulevard, Ventura, San Fernando Valle", San Fernando Valley, Ventura," Ventura Boulevard,  at Delmonico's Lobster House,  the second date"
5308,https://www.movie-locations.com/movies/0/3-Men-And-A-Baby-Prasada.jpg, the Manhattan apartment building, New York, Central Park West, The Prasada
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-East-77th-Street.jpg, Joe Turner works at the 'American Historical Literary Society', New York, East Side, East 77th Street
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Lexington-Candy-Shop.jpg, Turner nips out to get sandwiches, Upper East Side, Lexington Avenue, Lexington Candy Shop Luncheonette
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Guggenheim-Museum.jpg, Joe Turner hides out in the art gallery, New York, Upper East Side," Fifth Avenue,  Guggenheim Museum"
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Ansonia-passage.jpg, Higgins sets up the meeting, New York, Upper West Side, Alley behind the Ansonia
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Ansonia-passage-2.jpg, Turner turns up for the meeting, New York, Upper West Side, Alley behind the Ansonia
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Ansonia-passage-reverse.jpg, Joe Turner barely escapes with his life, New York, Upper West Side, Alley behind the Ansonia
2819,https://www.movie-locations.com/movies/t/Three-Days-Of-The-Condor-Hoboken-Station.jpg, Joe Turner says his goodbyes to Kathy, New Jersey, Hoboken, Hoboken Railway Station
6502,https://www.movie-locations.com/movies/0/28-Days-Later-Canary-Wharf.jpg, the vast escalators, London, Canary Wharf Station,
6502,https://www.movie-locations.com/movies/i/Into-The-Woods-Waverley-Abbey.jpg, the brief idyll in the countryside, Surrey, Farnham, Waverley Abbey
58803,https://www.movie-locations.com/movies/0/21-Doyles-Braddock-Cafe.jpg, Ben Campbell celebrates his birthday, Jamaica Plain, Washington Street, Doyle's Cafe
58803,https://www.movie-locations.com/movies/0/21-J-Press.jpg, Ben gets a job at the tailor’s to fund his college fees, Cambridge, Mount Auburn Street, J Press
58803,https://www.movie-locations.com/movies/0/21-South-Street-Diner.jpg, the team explains the set-up to the newbie, Boston, Kneeland Street, South Street Diner
58803,https://www.movie-locations.com/movies/0/21-Tyler-Street.jpg, Ben Campbell searches for the location of the trial run, Boston, Chinatown, Tyler Street
